Date,Open,High,Low,Close,Adj Close,Volume
2016-03-28,584.400024,584.750000,575.559998,579.869995,579.869995,3121500
2016-03-29,580.150024,595.849976,576.500000,593.859985,593.859985,4167100
2016-03-30,596.710022,603.239990,595.000000,598.690002,598.690002,3890500
2016-03-31,599.280029,600.750000,592.210022,593.640015,593.640015,2681800
2016-04-01,590.489990,599.030029,588.299988,598.500000,598.500000,2917400
2016-04-04,599.000000,599.500000,590.549988,593.190002,593.190002,2470800
2016-04-05,590.770020,593.469971,585.250000,586.140015,586.140015,2308900
2016-04-06,587.520020,602.390015,587.500000,602.080017,602.080017,2833500
2016-04-07,598.760010,599.599976,589.080017,591.429993,591.429993,3189000
2016-04-08,594.320007,597.859985,589.000000,594.599976,594.599976,2591900
2016-04-11,596.140015,604.000000,594.909973,595.929993,595.929993,2704300
2016-04-12,598.400024,604.059998,592.309998,603.169983,603.169983,2636300
2016-04-13,607.679993,616.809998,605.289978,614.820007,614.820007,4228300
2016-04-14,615.070007,624.380005,615.070007,620.750000,620.750000,3474300
2016-04-15,621.919983,626.770020,618.109985,625.890015,625.890015,2887700
2016-04-18,625.349976,637.640015,624.960022,635.349976,635.349976,4336400
2016-04-19,637.140015,638.010010,620.799988,627.900024,627.900024,4055900
2016-04-20,630.000000,636.549988,623.000000,632.989990,632.989990,2609400
2016-04-21,631.000000,637.820007,628.500000,631.000000,631.000000,2596300
2016-04-22,624.469971,628.250000,611.559998,620.500000,620.500000,5083900
2016-04-25,616.609985,626.979980,616.250000,626.200012,626.200012,2682900
2016-04-26,626.169983,626.750000,614.880005,616.880005,616.880005,2521400
2016-04-27,611.799988,615.950012,601.280029,606.570007,606.570007,4068800
2016-04-28,615.539978,626.799988,599.200012,602.000000,602.000000,7872600
2016-04-29,666.000000,669.979980,654.000000,659.590027,659.590027,10310700
2016-05-02,663.919983,685.500000,662.030029,683.849976,683.849976,6578500
2016-05-03,677.359985,680.299988,670.429993,671.320007,671.320007,4923400
2016-05-04,662.590027,674.000000,662.140015,670.900024,670.900024,4574500
2016-05-05,673.309998,676.489990,656.000000,659.090027,659.090027,4884100
2016-05-06,656.049988,676.950012,656.010010,673.950012,673.950012,4365300
2016-05-09,673.950012,686.979980,671.409973,679.750000,679.750000,3982200
2016-05-10,694.000000,704.549988,693.500000,703.070007,703.070007,6087000
2016-05-11,705.789978,719.000000,701.650024,713.229980,713.229980,7338200
2016-05-12,717.380005,722.450012,711.510010,717.929993,717.929993,5048200
2016-05-13,714.640015,719.250000,706.510010,709.919983,709.919983,4763400
2016-05-16,710.130005,713.250000,700.280029,710.659973,710.659973,5432900
2016-05-17,709.900024,714.469971,693.909973,695.270020,695.270020,5121400
2016-05-18,689.559998,702.539978,688.760010,697.450012,697.450012,4283200
2016-05-19,691.880005,699.400024,689.559998,698.520020,698.520020,3025600
2016-05-20,701.049988,707.239990,700.000000,702.799988,702.799988,2916200
2016-05-23,704.250000,706.000000,696.419983,696.750000,696.750000,2579200
2016-05-24,698.010010,707.500000,698.000000,704.200012,704.200012,3033800
2016-05-25,708.000000,710.859985,705.520020,708.349976,708.349976,3267700
2016-05-26,708.330017,715.000000,707.289978,714.909973,714.909973,2436800
2016-05-27,715.000000,716.599976,711.099976,712.239990,712.239990,2249200
2016-05-31,712.330017,724.229980,711.320007,722.789978,722.789978,3618300
2016-06-01,720.900024,726.429993,718.219971,719.440002,719.440002,3263100
2016-06-02,720.969971,728.280029,715.500000,728.239990,728.239990,3020700
2016-06-03,726.739990,727.000000,718.429993,725.539978,725.539978,3367300
2016-06-06,726.500000,731.500000,724.419983,726.729980,726.729980,2704800
2016-06-07,729.890015,730.000000,720.549988,723.739990,723.739990,2732500
2016-06-08,726.400024,729.419983,721.599976,726.640015,726.640015,2223400
2016-06-09,723.099976,728.909973,722.299988,727.650024,727.650024,2170300
2016-06-10,722.349976,724.979980,714.210022,717.909973,717.909973,3425700
2016-06-13,714.010010,721.989990,711.159973,715.239990,715.239990,3352200
2016-06-14,712.330017,720.809998,712.270020,719.299988,719.299988,2506900
2016-06-15,722.000000,722.559998,713.349976,714.260010,714.260010,2709400
